Fournisseur,Document d'achat,Poste,Article,Nº d'appel,Date livraison,QTE,Date de transmission appel,Dernière date EM
100590,5500041768,190,0204207170,489,2023-12-08,1500,2023-12-12,2023-11-29
100590,5500041768,190,0204207170,489,2023-12-12,2500,2023-12-12,2023-11-29
100590,5500041768,190,0204207170,490,2023-12-19,7000,2023-12-13,2023-12-12
100590,5500041768,190,0204207170,485,2024-01-02,0,2023-12-06,2023-11-29
100590,5500041768,190,0204207170,485,2024-01-08,27000,2023-12-06,2023-11-29
100590,5500041768,190,0204207170,518,2024-01-12,26500,2024-01-22,2023-12-13
100590,5500041768,190,0204207170,485,2024-01-15,0,2023-12-06,2023-11-29
100590,5500041768,190,0204207170,485,2024-01-22,0,2023-12-06,2023-11-29
100590,5500041768,190,0204207170,485,2024-01-29,0,2023-12-06,2023-11-29
100590,5500041768,190,0204207170,485,2024-02-05,0,2023-12-06,2023-11-29
100590,5500041768,190,0204207170,512,2024-02-12,0,2024-01-12,2023-12-13
100590,5500041768,190,0204207170,485,2024-02-19,0,2023-12-06,2023-11-29
100590,5500041768,190,0204207170,485,2024-02-26,0,2023-12-06,2023-11-29
100590,5500041768,190,0204207170,485,2024-03-04,0,2023-12-06,2023-11-29
100590,5500041768,190,0204207170,529,2024-03-11,0,2024-02-06,2024-01-22
100590,5500041768,190,0204207170,537,2024-03-18,27000,2024-02-16,2024-01-22
100590,5500041768,190,0204207170,539,2024-03-19,0,2024-02-22,2024-01-22
100590,5500041768,190,0204207170,557,2024-03-22,27000,2024-03-20,2024-01-22
100590,5500041768,190,0204207170,539,2024-03-25,27000,2024-02-22,2024-01-22
100590,5500041768,190,0204207170,548,2024-03-26,0,2024-03-07,2024-01-22
100590,5500041768,190,0204207170,544,2024-04-01,0,2024-03-01,2024-01-22
100590,5500041768,190,0204207170,485,2024-04-08,0,2023-12-06,2023-11-29
100590,5500041768,190,0204207170,513,2024-04-15,0,2024-01-15,2023-12-13
100590,5500041768,190,0204207170,539,2024-04-22,0,2024-02-22,2024-01-22
100590,5500041768,190,0204207170,554,2024-04-29,0,2024-03-15,2024-01-22
100590,5500041768,190,0204207170,556,2024-05-06,0,2024-03-19,2024-01-22
100590,5500041768,190,0204207170,569,2024-05-13,0,2024-04-05,2024-03-20
100590,5500041768,190,0204207170,568,2024-05-20,0,2024-04-04,2024-03-20
100590,5500041768,190,0204207170,572,2024-05-27,0,2024-04-10,2024-03-20
100590,5500041768,190,0204207170,582,2024-06-03,0,2024-04-24,2024-03-20
100590,5500041768,190,0204207170,591,2024-06-10,27000,2024-05-07,2024-03-20
100590,5500041768,190,0204207170,597,2024-06-11,0,2024-05-15,2024-03-20
100590,5500041768,190,0204207170,615,2024-06-14,27000,2024-06-10,2024-03-20
100590,5500041768,190,0204207170,554,2024-06-17,0,2024-03-15,2024-01-22
100590,5500041768,190,0204207170,603,2024-06-18,0,2024-05-23,2024-03-20
