Fournisseur;Document d'achat;Poste;Article;Nº d'appel;Date livraison;QTE;Date de transmission appel;Dernière date EM;Statut livraison;Quantité corrigée;Différence jours
100590;5500041768;190;0204207170;489;2023-12-08;1500;2023-12-12;2023-11-29;Livraison en retard de 4 jours;3000.0;4.0
100590;5500041768;190;0204207170;489;2023-12-12;2500;2023-12-12;2023-11-29;Livraison à la date prévue;2000.0;0.0
100590;5500041768;190;0204207170;490;2023-12-19;7000;2023-12-13;2023-12-12;Livraison en avance de 6 jours;500.0;-6.0
100590;5500041768;190;0204207170;518;2024-01-12;26500;2024-01-22;2023-12-13;Livraison en retard de 10 jours;500.0;10.0
100590;5500041768;190;0204207170;557;2024-03-22;27000;2024-03-20;2024-01-22;Livraison en avance de 2 jours;0.0;-2.0
100590;5500041768;190;0204207170;615;2024-06-14;27000;2024-06-10;2024-03-20;Livraison en avance de 4 jours;0.0;-4.0
100590;5500041768;190;0204207170;680;2024-09-13;27000;2024-09-09;2024-06-10;Livraison en avance de 4 jours;0.0;-4.0
100590;5500041768;190;0204207170;740;2024-12-06;27000;2024-12-02;2024-09-09;Livraison en avance de 4 jours;0.0;-4.0
100590;5500041768;310;0204L82866;490;2023-12-01;7460;2023-12-13;2023-12-11;Livraison en retard de 12 jours;12540.0;12.0
100590;5500041768;310;0204L82866;490;2023-12-05;10000;2023-12-13;2023-12-11;Livraison en retard de 8 jours;10000.0;8.0
100590;5500041768;310;0204L82866;495;2023-12-08;7460;2023-12-20;2023-12-13;Livraison en retard de 12 jours;27540.0;12.0
100590;5500041768;310;0204L82866;495;2023-12-12;10000;2023-12-20;2023-12-13;Livraison en retard de 8 jours;25000.0;8.0
100590;5500041768;310;0204L82866;495;2023-12-15;2500;2023-12-20;2023-12-13;Livraison en retard de 5 jours;32500.0;5.0
100590;5500041768;310;0204L82866;495;2023-12-19;15000;2023-12-20;2023-12-13;Livraison en retard de 1 jours;20000.0;1.0
100590;5500041768;310;0204L82866;499;2024-01-02;9960;2023-12-26;2023-12-20;Livraison en avance de 7 jours;40.0;-7.0
100590;5500041768;310;0204L82866;508;2024-01-05;4960;2024-01-08;2023-12-26;Livraison en retard de 3 jours;40.0;3.0
